threshold,approval_rate,realized_profit,book_default_rate
0.43,0.4584302222850479,652706.3052619225,0.11131496585004856
0.44,0.47780683464678236,-1873324.5375452964,0.11477386191339077
0.45,0.4971092341944376,-4414546.410834709,0.11810872486084156
0.46,0.5168604445700957,-7495550.006260347,0.12155398752871677
0.47000000000000003,0.5362335229883026,-10546410.921240846,0.1248335947488434
0.48,0.5557762306958335,-13853764.744914178,0.12812523844647353
0.49,0.5756617309255398,-17755208.577758476,0.131446637404463
0.5,0.5947591617485952,-21459913.64548265,0.13466509010748726
0.51,0.6139838145386437,-25604150.717706934,0.13817853216606518
0.52,0.6330141004346751,-30272793.78333325,0.14142716777204617
0.53,0.6516097112768138,-35118547.58846756,0.14460967752432397
0.54,0.6699014029755804,-40149976.40206715,0.1478935651660143
0.55,0.6876806728628476,-45849675.84387242,0.15130040648944207
0.56,0.7053044492349012,-51030914.81926887,0.15444934362160537
0.5700000000000001,0.7221401562003039,-56461333.755251914,0.15729358336922053
0.58,0.7387320210623034,-62880077.89838191,0.1604198259654897
0.59,0.7547549210163622,-68813363.39299859,0.16326970169450258
0.6,0.7703890871823869,-75852305.70899706,0.16621329651325478
0.61,0.7850867583136022,-82370656.90014483,0.16887232395253785
0.62,0.7996466056472418,-89245812.32371517,0.1716664604288568
0.63,0.8132982294942926,-96133124.14270544,0.17427293939749455
0.64,0.8266035268756405,-102871927.60584702,0.1767434503043984
0.65,0.8391454924550306,-109771519.7245814,0.17922704703667675
0.66,0.8512245114323073,-117274066.49140646,0.18153700528498656
0.67,0.8631515708378981,-125256881.13664876,0.18396207102675172
0.68,0.8744743259002721,-133033609.3914826,0.18629622145888058
0.6900000000000001,0.8853447361911156,-141139491.5254742,0.18846746445478713
0.7000000000000001,0.8958052090327596,-150100964.92957956,0.19079554689410855
0.71,0.9054316712018942,-157666788.5862225,0.19284571250146365
0.72,0.9151712195639113,-166201658.34118256,0.1950062942625673
0.73,0.9242534544297982,-174786455.7925056,0.1970397956686651
0.74,0.9331342545146128,-183619674.87717003,0.19909562240341755
0.75,0.9415238364490935,-192226787.89392263,0.20100742053050974
0.76,0.9493621231932714,-200165935.97682413,0.20279108550072403
0.77,0.9567763367141393,-208501373.39522123,0.20454385958432292
0.78,0.9634802275859632,-216419729.2508664,0.20626402969527136
0.79,0.9699756157896596,-224819595.30293953,0.20812171644673083
0.8,0.9757606813443122,-232974807.73321655,0.20990109050345696
0.81,0.9808283563628654,-240374607.076214,0.2113999531607487
0.8200000000000001,0.9854118811181397,-247085911.41714257,0.21277999727444216
0.8300000000000001,0.9892674135067322,-253809747.6253719,0.21415481561659397
0.84,0.9926387956320458,-259735895.42845473,0.21533570439358177
0.85,0.9951090221578259,-264259894.9079581,0.2162216871577422
0.86,0.9970703608156342,-268146770.6597186,0.21702623865372278
0.87,0.9984132593561155,-270708768.6674772,0.2175307322287547
0.88,0.9992119305933491,-272515508.7371099,0.21786261215857286
0.89,0.9996925469131003,-273796794.2670169,0.21808309442419657
0.9,0.9999187192988656,-274336970.83830756,0.2181751352726836
0.91,0.9999681945082518,-274432632.9140619,0.21819261311629518
0.92,1.0,-274472930.2320085,0.21819627522352192
0.93,1.0,-274472930.2320085,0.21819627522352192
0.9400000000000001,1.0,-274472930.2320085,0.21819627522352192
0.9500000000000001,1.0,-274472930.2320085,0.21819627522352192
0.96,1.0,-274472930.2320085,0.21819627522352192
0.97,1.0,-274472930.2320085,0.21819627522352192
0.98,1.0,-274472930.2320085,0.21819627522352192
0.99,1.0,-274472930.2320085,0.21819627522352192
1.0,1.0,-274472930.2320085,0.21819627522352192
